,sumStudentPop,key1,UID,Province_State,POPESTIMATE2019,Long_,Lat,Country_Region,Combined_Key,Admin2,date,case_count,month,pct_change,ratioStudent,casesPerThousand
2658,0.0,"Madison,Ohio",84039097,Ohio,44731.0,-83.40178317,39.89381073,US,"Madison, Ohio, US",Madison,2020-09-01,704,9,1.1863354037267082,0.0,15.738525854552773
26958,0.0,"Madison,Ohio",84039097,Ohio,44731.0,-83.40178317,39.89381073,US,"Madison, Ohio, US",Madison,2020-10-01,887,10,0.2599431818181819,0.0,19.829648342312936
24168,0.0,"Madison,Ohio",84039097,Ohio,44731.0,-83.40178317,39.89381073,US,"Madison, Ohio, US",Madison,2020-11-01,1129,11,0.27282976324689967,0.0,25.23976660481545
8240,0.0,"Marion,Ohio",84039101,Ohio,65093.0,-83.15736305,40.58610662,US,"Marion, Ohio, US",Marion,2020-07-01,2731,7,0.02361319340329837,0.0,41.955356182692455
5450,0.0,"Marion,Ohio",84039101,Ohio,65093.0,-83.15736305,40.58610662,US,"Marion, Ohio, US",Marion,2020-08-01,2867,8,0.04979860856828999,0.0,44.044674542577546
2660,0.0,"Marion,Ohio",84039101,Ohio,65093.0,-83.15736305,40.58610662,US,"Marion, Ohio, US",Marion,2020-09-01,3006,9,0.04848273456574814,0.0,46.180080807460094
26960,0.0,"Marion,Ohio",84039101,Ohio,65093.0,-83.15736305,40.58610662,US,"Marion, Ohio, US",Marion,2020-10-01,3138,10,0.043912175648702645,0.0,48.207948627348564
24170,0.0,"Marion,Ohio",84039101,Ohio,65093.0,-83.15736305,40.58610662,US,"Marion, Ohio, US",Marion,2020-11-01,3585,11,0.14244741873804978,0.0,55.07504647197087
8241,0.0,"Medina,Ohio",84039103,Ohio,179746.0,-81.89986209999998,41.11770589,US,"Medina, Ohio, US",Medina,2020-07-01,491,7,0.41907514450867045,0.0,2.7316324146295328
5451,0.0,"Medina,Ohio",84039103,Ohio,179746.0,-81.89986209999998,41.11770589,US,"Medina, Ohio, US",Medina,2020-08-01,821,8,0.6720977596741344,0.0,4.567556440755288
2661,0.0,"Medina,Ohio",84039103,Ohio,179746.0,-81.89986209999998,41.11770589,US,"Medina, Ohio, US",Medina,2020-09-01,1219,9,0.484774665042631,0.0,6.781792084385744
26961,0.0,"Medina,Ohio",84039103,Ohio,179746.0,-81.89986209999998,41.11770589,US,"Medina, Ohio, US",Medina,2020-10-01,1514,10,0.24200164068908947,0.0,8.422996895619374
24171,0.0,"Medina,Ohio",84039103,Ohio,179746.0,-81.89986209999998,41.11770589,US,"Medina, Ohio, US",Medina,2020-11-01,2197,11,0.45112285336856006,0.0,12.222803289085709
8242,0.0,"Meigs,Ohio",84039105,Ohio,22907.0,-82.0305041,39.09224872,US,"Meigs, Ohio, US",Meigs,2020-07-01,11,7,0.8333333333333333,0.0,0.48020255816999174
5452,0.0,"Meigs,Ohio",84039105,Ohio,22907.0,-82.0305041,39.09224872,US,"Meigs, Ohio, US",Meigs,2020-08-01,23,8,1.0909090909090908,0.0,1.0040598943554373
2662,0.0,"Meigs,Ohio",84039105,Ohio,22907.0,-82.0305041,39.09224872,US,"Meigs, Ohio, US",Meigs,2020-09-01,127,9,4.521739130434782,0.0,5.544156807962631
